customer_id,gender,senior_subscriber,family_account,kids_profile,subscription_months,mobile_access,shared_profiles,streaming_quality,account_security,offline_downloads,device_protection,premium_support,live_tv_package,movie_package,subscription_plan,digital_billing,payment_method,monthly_subscription_fee,total_spent,churn,views_per_week,average_watch_time,number_of_devices,favorite_genre,engagement_score,subscription_value_ratio,churn_probability,predicted_class,risk_level
0280-XJGEX,Male,0,No,No,49,Yes,Multiple,Ultra HD,No,Yes,Yes,No,Yes,Yes,Monthly,Yes,Bank transfer (automatic),103.7,5036.3,1,6.1,2.54,5,Documentary,3.1,48.57,0.6507,1,Medium
5129-JLPIS,Male,0,No,No,25,Yes,Single,Ultra HD,Yes,No,Yes,Yes,Yes,Yes,Monthly,Yes,Electronic check,105.5,2686.05,0,6.8,3.84,1,Comedy,26.11,25.46,0.5271,1,Medium
3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Multiple,Ultra HD,Yes,Yes,Yes,Yes,Yes,Yes,Two-Year,No,Credit card (automatic),113.25,7895.15,0,28.9,2.96,2,Documentary,42.77,69.71,0.0236,0,Low
8191-XWSZG,Female,0,No,No,52,Yes,Single,Mobile only,No,No,No,No,No,No,Annual,No,Mailed check,20.65,1022.95,0,24.8,3.08,1,Action,76.38,49.54,0.0221,0,Low
9959-WOFKT,Male,0,No,Yes,71,Yes,Multiple,Ultra HD,Yes,No,Yes,No,Yes,Yes,Two-Year,No,Bank transfer (automatic),106.7,7382.25,0,30.5,1.8,3,Documentary,18.3,69.19,0.0909,0,Low
4190-MFLUW,Female,0,Yes,Yes,10,Yes,Single,Standard HD,No,No,Yes,Yes,No,No,Monthly,No,Credit card (automatic),55.2,528.35,1,28.8,3.21,4,Kids,23.11,9.57,0.2935,0,Low
4183-MYFRB,Female,0,No,No,21,Yes,Single,Ultra HD,No,Yes,Yes,No,No,Yes,Monthly,Yes,Electronic check,90.05,1862.9,0,16.7,2.35,4,Sports,9.81,20.69,0.6803,1,Medium
8779-QRDMV,Male,1,No,No,1,No,Single,Standard HD,No,No,Yes,No,No,Yes,Monthly,Yes,Electronic check,39.65,39.65,1,23.0,3.05,3,Comedy,23.38,1.0,0.8674,1,High
1680-VDCWW,Male,0,Yes,No,12,Yes,Single,Mobile only,No,No,No,No,No,No,Annual,No,Bank transfer (automatic),19.8,202.25,0,4.5,3.78,1,Kids,17.01,10.21,0.0834,0,Low
1066-JKSGK,Male,0,No,No,1,Yes,Single,Mobile only,No,No,No,No,No,No,Monthly,No,Mailed check,20.15,20.15,1,11.9,3.4,5,Kids,8.09,1.0,0.5808,1,Medium
3638-WEABW,Female,0,Yes,No,58,Yes,Multiple,Standard HD,No,Yes,No,Yes,No,No,Two-Year,Yes,Credit card (automatic),59.9,3505.1,0,9.4,4.1,5,Sports,7.71,58.52,0.0426,0,Low
6322-HRPFA,Male,0,Yes,Yes,49,Yes,Single,Standard HD,Yes,Yes,No,Yes,No,No,Monthly,No,Credit card (automatic),59.6,2970.3,0,23.1,4.04,1,Kids,93.32,49.84,0.1314,0,Low
6865-JZNKO,Female,0,No,No,30,Yes,Single,Standard HD,Yes,Yes,No,No,No,No,Monthly,Yes,Bank transfer (automatic),55.3,1530.6,0,17.8,1.44,5,Sports,5.13,27.68,0.2375,0,Low
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Multiple,Ultra HD,No,Yes,No,No,Yes,Yes,Monthly,Yes,Electronic check,99.35,4749.15,1,15.5,3.75,1,Drama,58.12,47.8,0.6984,1,Medium
8665-UTDHZ,Male,0,Yes,Yes,1,No,Single,Standard HD,No,Yes,No,No,No,No,Monthly,No,Electronic check,30.2,30.2,1,27.2,4.48,1,Drama,121.86,1.0,0.5465,1,Medium
5248-YGIJN,Male,0,Yes,No,72,Yes,Multiple,Standard HD,Yes,Yes,Yes,Yes,Yes,Yes,Two-Year,Yes,Credit card (automatic),90.25,6369.45,0,25.6,4.25,5,Documentary,21.76,70.58,0.0117,0,Low
8773-HHUOZ,Female,0,No,Yes,17,Yes,Single,Standard HD,No,No,No,No,Yes,Yes,Monthly,Yes,Mailed check,64.7,1093.1,1,10.5,4.01,1,Action,42.1,16.89,0.4518,1,Medium
3841-NFECX,Female,1,Yes,No,71,Yes,Multiple,Ultra HD,Yes,Yes,Yes,Yes,No,No,Two-Year,Yes,Credit card (automatic),96.35,6766.95,0,22.4,4.85,2,Comedy,54.32,70.23,0.043,0,Low
4929-XIHVW,Male,1,Yes,No,2,Yes,Single,Ultra HD,No,No,Yes,No,Yes,Yes,Monthly,Yes,Credit card (automatic),95.5,181.65,0,21.8,3.78,1,Sports,82.4,1.9,0.6559,1,Medium
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,Single,Standard HD,Yes,Yes,Yes,Yes,No,No,Annual,No,Mailed check,66.15,1874.45,0,5.3,0.81,5,Documentary,0.86,28.34,0.0918,0,Low
7310-EGVHZ,Male,0,No,No,1,Yes,Single,Mobile only,No,No,No,No,No,No,Monthly,No,Bank transfer (automatic),20.2,20.2,0,19.6,3.7,4,Documentary,18.13,1.0,0.5038,1,Medium
3413-BMNZE,Male,1,No,No,1,Yes,Single,Standard HD,No,No,No,No,No,No,Monthly,No,Bank transfer (automatic),45.25,45.25,0,15.4,4.12,3,Kids,21.15,1.0,0.6555,1,Medium
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Multiple,Ultra HD,Yes,Yes,No,Yes,Yes,No,Two-Year,No,Bank transfer (automatic),99.9,7251.7,0,7.1,3.33,4,Kids,5.91,72.59,0.0514,0,Low
6047-YHPVI,Male,0,No,No,5,Yes,Single,Ultra HD,No,No,No,No,No,No,Monthly,Yes,Electronic check,69.7,316.9,1,24.4,2.88,2,Drama,35.14,4.55,0.845,1,High
6572-ADKRS,Female,0,No,No,46,Yes,Single,Ultra HD,No,No,Yes,No,No,No,Monthly,Yes,Credit card (automatic),74.8,3548.3,0,17.6,3.14,2,Reality,27.63,47.44,0.4075,1,Medium
5380-WJKOV,Male,0,No,No,34,Yes,Multiple,Ultra HD,No,Yes,Yes,No,Yes,Yes,Monthly,Yes,Electronic check,106.35,3549.25,1,20.1,2.29,3,Drama,15.34,33.37,0.7838,1,High
8168-UQWWF,Female,0,No,No,11,Yes,Multiple,Ultra HD,No,No,Yes,No,Yes,Yes,Monthly,Yes,Bank transfer (automatic),97.85,1105.4,1,22.8,2.1,5,Reality,9.58,11.3,0.8381,1,High
8865-TNMNX,Male,0,Yes,Yes,10,Yes,Single,Standard HD,No,Yes,No,No,No,No,Annual,No,Mailed check,49.55,475.7,0,5.5,1.48,2,Kids,4.07,9.6,0.1839,0,Low
9489-DEDVP,Female,0,Yes,Yes,70,Yes,Multiple,Standard HD,Yes,Yes,No,No,Yes,No,Two-Year,Yes,Credit card (automatic),69.2,4872.35,0,17.7,3.94,4,Drama,17.43,70.41,0.0308,0,Low
9867-JCZSP,Female,0,Yes,Yes,17,Yes,Single,Mobile only,No,No,No,No,No,No,Annual,No,Mailed check,20.75,418.25,0,19.4,3.32,5,Drama,12.88,20.16,0.0272,0,Low
4671-VJLCL,Female,0,No,No,63,Yes,Multiple,Standard HD,Yes,Yes,Yes,Yes,Yes,No,Two-Year,Yes,Credit card (automatic),79.85,4861.45,0,11.7,1.58,5,Reality,3.7,60.88,0.0595,0,Low
4080-IIARD,Female,0,Yes,No,13,Yes,Multiple,Standard HD,Yes,Yes,No,Yes,Yes,No,Monthly,Yes,Electronic check,76.2,981.45,0,23.4,4.7,2,Comedy,54.99,12.88,0.3116,0,Low
3714-NTNFO,Female,0,No,No,49,Yes,Multiple,Ultra HD,No,No,No,No,No,Yes,Monthly,Yes,Electronic check,84.5,3906.7,0,22.3,3.97,5,Sports,17.71,46.23,0.7701,1,High
5948-UJZLF,Male,0,No,No,2,Yes,Single,Standard HD,No,Yes,No,No,No,No,Monthly,No,Mailed check,49.25,97.0,0,12.9,1.31,4,Reality,4.22,1.97,0.5445,1,Medium
7760-OYPDY,Female,0,No,No,2,Yes,Single,Ultra HD,No,No,No,No,Yes,No,Monthly,Yes,Electronic check,80.65,144.15,1,6.4,3.43,2,Action,10.98,1.79,0.9119,1,High
7639-LIAYI,Male,0,No,No,52,Yes,Multiple,Standard HD,Yes,No,No,Yes,Yes,Yes,Two-Year,Yes,Credit card (automatic),79.75,4217.8,0,8.5,2.6,2,Reality,11.05,52.89,0.0553,0,Low
2954-PIBKO,Female,0,Yes,Yes,69,Yes,Multiple,Standard HD,Yes,No,Yes,Yes,No,No,Two-Year,Yes,Credit card (automatic),64.15,4254.1,0,28.1,3.48,1,Documentary,97.79,66.31,0.0299,0,Low
8012-SOUDQ,Female,1,No,No,43,Yes,Multiple,Ultra HD,No,Yes,No,No,Yes,No,Monthly,Yes,Electronic check,90.25,3838.75,0,12.2,3.88,2,Drama,23.67,42.53,0.6808,1,Medium
9420-LOJKX,Female,0,No,No,15,Yes,Single,Ultra HD,Yes,Yes,No,No,Yes,Yes,Monthly,Yes,Credit card (automatic),99.1,1426.4,1,24.8,1.78,1,Comedy,44.14,14.39,0.6567,1,Medium
6575-SUVOI,Female,1,Yes,No,25,Yes,Multiple,Standard HD,Yes,No,No,Yes,Yes,No,Monthly,Yes,Credit card (automatic),69.5,1752.65,0,4.6,1.72,1,Drama,7.91,25.22,0.1984,0,Low
7495-OOKFY,Female,1,Yes,No,8,Yes,Multiple,Ultra HD,No,Yes,No,No,No,No,Monthly,Yes,Credit card (automatic),80.65,633.3,1,26.3,5.17,1,Drama,135.97,7.85,0.6441,1,Medium
4667-QONEA,Female,1,Yes,Yes,60,Yes,Single,Standard HD,Yes,Yes,Yes,Yes,No,Yes,Annual,Yes,Credit card (automatic),74.85,4456.35,0,5.6,1.61,5,Sports,1.8,59.54,0.1541,0,Low
1658-BYGOY,Male,1,No,No,18,Yes,Multiple,Ultra HD,No,No,No,No,Yes,Yes,Monthly,Yes,Electronic check,95.45,1752.55,1,18.0,1.55,2,Documentary,13.95,18.36,0.8324,1,High
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Multiple,Ultra HD,Yes,No,No,No,Yes,Yes,Annual,Yes,Credit card (automatic),99.65,6311.2,0,23.0,1.45,1,Comedy,33.35,63.33,0.22,0,Low
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Multiple,Ultra HD,No,Yes,Yes,Yes,Yes,Yes,Annual,Yes,Electronic check,108.45,7076.35,0,30.2,4.18,4,Reality,31.56,65.25,0.2695,0,Low
3957-SQXML,Female,0,Yes,Yes,34,Yes,Multiple,Mobile only,No,No,No,No,No,No,Two-Year,No,Credit card (automatic),24.95,894.3,0,6.7,3.66,4,Comedy,6.13,35.84,0.012,0,Low
5954-BDFSG,Female,0,No,No,72,Yes,Multiple,Ultra HD,No,No,Yes,Yes,Yes,Yes,Two-Year,Yes,Credit card (automatic),107.5,7853.7,0,17.3,3.18,3,Reality,18.34,73.06,0.1123,0,Low
0434-CSFON,Female,0,Yes,No,47,Yes,Multiple,Ultra HD,No,No,Yes,No,Yes,Yes,Monthly,Yes,Electronic check,100.5,4707.1,0,29.5,2.63,5,Action,15.52,46.84,0.7239,1,High
1215-FIGMP,Male,0,No,No,60,Yes,Multiple,Ultra HD,No,Yes,No,No,Yes,No,Monthly,Yes,Bank transfer (automatic),89.9,5450.7,0,14.7,1.47,4,Action,5.4,60.63,0.4557,1,Medium
0526-SXDJP,Male,0,Yes,No,72,No,Single,Standard HD,Yes,Yes,Yes,No,No,No,Two-Year,No,Bank transfer (automatic),42.1,2962.0,0,22.9,5.08,1,Sports,116.33,70.36,0.0321,0,Low
0557-ASKVU,Female,0,Yes,Yes,18,Yes,Single,Standard HD,No,No,Yes,Yes,No,No,Annual,Yes,Credit card (automatic),54.4,957.1,0,7.3,2.31,4,Action,4.22,17.59,0.1164,0,Low
5698-BQJOH,Female,0,No,No,9,Yes,Multiple,Ultra HD,No,No,No,No,Yes,Yes,Monthly,No,Electronic check,94.4,857.25,1,25.7,1.68,2,Sports,21.59,9.08,0.7559,1,High
5122-CYFXA,Female,0,No,No,3,Yes,Single,Standard HD,No,Yes,No,Yes,Yes,Yes,Monthly,Yes,Electronic check,75.3,244.1,0,28.3,4.75,1,Drama,134.43,3.24,0.4222,1,Medium
8627-ZYGSZ,Male,0,Yes,No,47,Yes,Multiple,Ultra HD,No,Yes,No,No,No,No,Annual,Yes,Electronic check,78.9,3650.35,0,7.5,4.07,5,Reality,6.1,46.27,0.2149,0,Low
3410-YOQBQ,Female,0,No,No,31,Yes,Single,Standard HD,No,Yes,Yes,Yes,Yes,Yes,Two-Year,No,Mailed check,79.2,2497.2,0,18.1,1.61,4,Sports,7.29,31.53,0.0514,0,Low
3170-NMYVV,Female,0,Yes,Yes,50,Yes,Single,Mobile only,No,No,No,No,No,No,Two-Year,No,Bank transfer (automatic),20.15,930.9,0,23.3,4.08,1,Kids,95.06,46.2,0.0232,0,Low
7410-OIEDU,Male,0,No,No,10,Yes,Single,Ultra HD,Yes,No,Yes,No,No,No,Monthly,Yes,Mailed check,79.85,887.35,0,27.2,4.46,4,Action,30.33,11.11,0.4581,1,Medium
2273-QCKXA,Male,0,No,No,1,Yes,Single,Standard HD,No,No,No,Yes,No,No,Monthly,No,Mailed check,49.05,49.05,0,6.5,2.99,4,Sports,4.86,1.0,0.4271,1,Medium
0731-EBJQB,Female,0,Yes,Yes,52,Yes,Single,Mobile only,No,No,No,No,No,No,Annual,Yes,Electronic check,20.4,1090.65,0,26.5,1.73,1,Kids,45.84,53.46,0.0715,0,Low
1891-QRQSA,Male,1,Yes,Yes,64,Yes,Multiple,Ultra HD,Yes,No,Yes,Yes,Yes,Yes,Two-Year,Yes,Bank transfer (automatic),111.6,7099.0,0,25.5,1.58,2,Reality,20.14,63.61,0.0916,0,Low
8028-PNXHQ,Male,0,Yes,Yes,62,Yes,Multiple,Mobile only,No,No,No,No,No,No,Two-Year,Yes,Bank transfer (automatic),24.25,1424.6,0,8.2,3.83,2,Documentary,15.7,58.75,0.0107,0,Low
5630-AHZIL,Female,0,No,Yes,3,Yes,Single,Standard HD,Yes,No,No,Yes,No,Yes,Monthly,Yes,Bank transfer (automatic),64.5,177.4,0,23.3,3.89,1,Drama,90.64,2.75,0.3634,0,Low
2673-CXQEU,Female,1,No,No,56,Yes,Multiple,Ultra HD,Yes,Yes,Yes,No,Yes,Yes,Annual,No,Electronic check,110.5,6139.5,0,16.6,3.56,1,Comedy,59.1,55.56,0.2913,0,Low
6416-JNVRK,Female,0,No,No,46,Yes,Single,Standard HD,No,No,No,No,No,Yes,Annual,No,Credit card (automatic),55.65,2688.85,0,22.8,1.67,1,Action,38.08,48.32,0.1314,0,Low
5590-ZSKRV,Female,0,Yes,Yes,8,Yes,Single,Standard HD,Yes,Yes,No,No,No,No,Monthly,No,Mailed check,54.65,482.25,0,21.9,1.74,2,Kids,19.05,8.82,0.2953,0,Low
0191-ZHSKZ,Male,1,No,No,30,Yes,Single,Standard HD,Yes,Yes,No,No,Yes,Yes,Monthly,Yes,Electronic check,74.75,2111.3,0,18.5,4.61,2,Documentary,42.64,28.24,0.2704,0,Low
3887-PBQAO,Female,0,Yes,Yes,45,Yes,Multiple,Mobile only,No,No,No,No,No,No,Annual,Yes,Credit card (automatic),25.9,1216.6,0,27.8,2.74,4,Reality,19.04,46.97,0.0451,0,Low
5919-TMRGD,Female,0,No,Yes,1,Yes,Single,Ultra HD,No,No,No,No,Yes,No,Monthly,Yes,Electronic check,79.35,79.35,1,8.3,2.6,2,Documentary,10.79,1.0,0.8401,1,High
8108-UXRQN,Female,0,Yes,Yes,11,No,Single,Standard HD,Yes,No,No,No,Yes,Yes,Monthly,No,Electronic check,50.55,565.35,0,9.1,2.65,3,Kids,8.04,11.18,0.3381,0,Low
9191-MYQKX,Female,0,Yes,No,7,Yes,Single,Ultra HD,No,No,Yes,No,No,No,Monthly,Yes,Bank transfer (automatic),75.15,496.9,1,8.0,2.46,3,Action,6.56,6.61,0.7609,1,High
9919-YLNNG,Female,0,No,No,42,Yes,Single,Ultra HD,No,Yes,Yes,Yes,Yes,Yes,Monthly,Yes,Bank transfer (automatic),103.8,4327.5,0,20.1,3.88,3,Action,26.0,41.69,0.3801,0,Low
0318-ZOPWS,Female,0,Yes,No,49,Yes,Single,Mobile only,No,No,No,No,No,No,Two-Year,Yes,Bank transfer (automatic),20.15,973.35,0,29.8,4.25,4,Comedy,31.66,48.31,0.0104,0,Low
4445-ZJNMU,Male,0,No,No,9,Yes,Multiple,Ultra HD,No,Yes,No,No,Yes,Yes,Monthly,Yes,Credit card (automatic),99.3,918.75,0,6.0,3.76,1,Action,22.56,9.25,0.7627,1,High
4808-YNLEU,Female,0,Yes,No,35,Yes,Single,Standard HD,Yes,No,No,No,Yes,No,Annual,Yes,Bank transfer (automatic),62.15,2215.45,0,6.3,2.78,5,Action,3.5,35.65,0.0601,0,Low
1862-QRWPE,Female,0,Yes,Yes,48,Yes,Single,Mobile only,No,No,No,No,No,No,Two-Year,No,Bank transfer (automatic),20.65,1057.0,0,12.6,3.17,2,Documentary,19.97,51.19,0.0117,0,Low
2796-NNUFI,Female,0,Yes,Yes,46,Yes,Single,Mobile only,No,No,No,No,No,No,Two-Year,Yes,Mailed check,19.95,927.1,0,24.2,3.03,3,Kids,24.44,46.47,0.0105,0,Low
3016-KSVCP,Male,0,Yes,No,29,No,Single,Standard HD,No,No,No,No,Yes,No,Monthly,No,Mailed check,33.75,1009.25,0,25.4,5.05,4,Documentary,32.07,29.9,0.3232,0,Low
4767-HZZHQ,Male,0,Yes,Yes,30,Yes,Single,Ultra HD,No,Yes,Yes,No,No,No,Monthly,No,Bank transfer (automatic),82.05,2570.2,0,24.3,3.65,1,Comedy,88.7,31.32,0.2791,0,Low
2424-WVHPL,Male,1,No,No,1,Yes,Single,Ultra HD,No,No,No,Yes,No,No,Monthly,No,Electronic check,74.7,74.7,0,9.9,1.19,3,Sports,3.93,1.0,0.5166,1,Medium
7233-PAHHL,Male,0,Yes,Yes,66,Yes,Multiple,Standard HD,Yes,No,Yes,Yes,Yes,Yes,Two-Year,Yes,Mailed check,84.0,5714.25,0,12.0,2.35,3,Sports,9.4,68.03,0.0332,0,Low
6067-NGCEU,Female,0,No,No,65,Yes,Multiple,Ultra HD,Yes,Yes,Yes,No,Yes,Yes,Monthly,Yes,Credit card (automatic),111.05,7107.0,0,17.9,4.75,2,Kids,42.51,64.0,0.2794,0,Low
9848-JQJTX,Male,0,No,No,72,Yes,Multiple,Ultra HD,No,Yes,Yes,No,Yes,Yes,Two-Year,Yes,Bank transfer (automatic),100.9,7459.05,0,6.4,3.07,5,Reality,3.93,73.93,0.2324,0,Low
8637-XJIVR,Female,0,No,No,12,Yes,Multiple,Ultra HD,Yes,No,No,No,No,No,Monthly,Yes,Electronic check,78.95,927.35,1,24.5,3.48,3,Reality,28.42,11.75,0.6796,1,Medium
9803-FTJCG,Male,0,Yes,Yes,71,Yes,Multiple,Standard HD,Yes,Yes,No,Yes,No,No,Annual,Yes,Credit card (automatic),66.85,4748.7,0,11.7,1.72,5,Drama,4.02,71.04,0.0817,0,Low
0278-YXOOG,Male,0,No,No,5,Yes,Single,Mobile only,No,No,No,No,No,No,Monthly,No,Mailed check,21.05,113.85,1,17.0,1.56,3,Reality,8.84,5.41,0.3887,0,Low
3212-KXOCR,Male,0,No,No,52,Yes,Single,Mobile only,No,No,No,No,No,No,Two-Year,No,Bank transfer (automatic),21.0,1107.2,0,9.0,3.28,2,Action,14.76,52.72,0.0261,0,Low
4598-XLKNJ,Female,1,Yes,No,25,Yes,Single,Ultra HD,No,Yes,Yes,No,Yes,Yes,Monthly,Yes,Electronic check,98.5,2514.5,1,21.5,1.98,4,Drama,10.64,25.53,0.7268,1,High
6380-ARCEH,Male,0,No,No,1,Yes,Single,Mobile only,No,No,No,No,No,No,Monthly,No,Mailed check,20.2,20.2,0,18.0,2.43,4,Sports,10.94,1.0,0.6498,1,Medium
3679-XASPY,Female,0,Yes,Yes,1,Yes,Single,Mobile only,No,No,No,No,No,No,Monthly,No,Electronic check,19.45,19.45,0,5.3,4.03,5,Sports,4.27,1.0,0.389,0,Low
7123-WQUHX,Male,0,No,No,38,Yes,Multiple,Ultra HD,No,No,Yes,Yes,Yes,No,Annual,No,Bank transfer (automatic),95.0,3605.6,0,10.3,4.27,1,Reality,43.98,37.95,0.1427,0,Low
5386-THSLQ,Female,1,Yes,No,66,No,Single,Standard HD,No,Yes,Yes,No,Yes,No,Annual,No,Bank transfer (automatic),45.55,3027.25,0,28.8,3.0,3,Drama,28.8,66.46,0.1001,0,Low
3192-NQECA,Male,0,Yes,No,68,Yes,Multiple,Ultra HD,No,Yes,Yes,Yes,Yes,Yes,Two-Year,Yes,Bank transfer (automatic),110.0,7611.85,1,19.0,4.42,5,Sports,16.8,69.2,0.3339,0,Low
6180-YBIQI,Male,0,No,No,5,No,Single,Standard HD,No,No,No,No,No,No,Monthly,No,Mailed check,24.3,100.2,0,14.3,2.74,1,Kids,39.18,4.12,0.5125,1,Medium
6728-DKUCO,Female,0,Yes,Yes,72,Yes,Multiple,Ultra HD,Yes,Yes,No,No,Yes,Yes,Annual,Yes,Electronic check,104.15,7303.05,0,10.6,1.98,4,Drama,5.25,70.12,0.169,0,Low
9750-BOOHV,Female,0,No,No,32,No,Single,Standard HD,Yes,No,No,No,No,No,Annual,No,Mailed check,30.15,927.65,0,19.7,4.71,3,Kids,30.93,30.77,0.0792,0,Low
8597-CWYHH,Male,0,No,No,43,Yes,Multiple,Ultra HD,No,No,No,No,Yes,Yes,Annual,No,Mailed check,94.35,3921.3,0,25.3,5.08,4,Sports,32.13,41.56,0.207,0,Low
2848-YXSMW,Male,0,Yes,Yes,72,Yes,Single,Mobile only,No,No,No,No,No,No,Two-Year,No,Credit card (automatic),19.4,1363.25,0,24.1,3.74,4,Action,22.53,70.27,0.0021,0,Low
0486-HECZI,Male,0,Yes,No,55,Yes,Multiple,Ultra HD,Yes,Yes,No,No,Yes,No,Monthly,Yes,Electronic check,96.75,5238.9,1,26.5,4.07,1,Drama,107.86,54.15,0.4429,1,Medium
4549-ZDQYY,Female,0,No,No,52,Yes,Single,Standard HD,Yes,No,Yes,Yes,No,No,Annual,No,Credit card (automatic),57.95,3042.25,0,23.5,3.45,2,Comedy,40.54,52.5,0.0426,0,Low
5712-AHQNN,Female,0,No,No,43,Yes,Single,Ultra HD,No,Yes,Yes,No,Yes,No,Monthly,Yes,Electronic check,91.65,3954.1,0,19.2,1.82,3,Action,11.65,43.14,0.6237,1,Medium
4846-WHAFZ,Female,1,Yes,No,37,Yes,Multiple,Ultra HD,No,No,No,No,No,No,Monthly,Yes,Electronic check,76.5,2868.15,1,23.1,3.09,3,Comedy,23.79,37.49,0.758,1,High
5256-SKJGO,Female,0,Yes,Yes,64,No,Single,Standard HD,No,Yes,No,Yes,Yes,Yes,Two-Year,Yes,Electronic check,54.6,3423.5,0,5.8,2.2,4,Drama,3.19,62.7,0.0907,0,Low
3071-VBYPO,Male,0,Yes,Yes,3,Yes,Single,Ultra HD,Yes,Yes,No,No,Yes,No,Monthly,No,Electronic check,89.85,248.4,0,12.6,4.21,3,Sports,17.68,2.76,0.3651,0,Low
9560-BBZXK,Female,0,No,No,36,No,Single,Standard HD,Yes,No,No,No,No,No,Two-Year,No,Bank transfer (automatic),31.05,1126.35,0,11.3,2.37,3,Kids,8.93,36.28,0.0647,0,Low
5299-RULOA,Female,0,Yes,Yes,10,Yes,Multiple,Ultra HD,Yes,No,No,No,Yes,Yes,Monthly,Yes,Electronic check,100.25,1064.65,1,19.8,3.26,4,Sports,16.14,10.62,0.7953,1,High
8402-OOOHJ,Female,0,No,No,41,Yes,Single,Mobile only,No,No,No,No,No,No,Two-Year,No,Mailed check,20.65,835.15,0,25.2,3.95,3,Reality,33.18,40.44,0.0054,0,Low
9445-ZUEQE,Male,0,Yes,Yes,27,Yes,Multiple,Ultra HD,No,Yes,No,Yes,No,No,Monthly,Yes,Credit card (automatic),85.2,2151.6,0,17.0,3.51,1,Documentary,59.67,25.25,0.2871,0,Low
1091-SOZGA,Female,0,Yes,Yes,56,Yes,Multiple,Ultra HD,No,No,Yes,No,Yes,Yes,Annual,Yes,Credit card (automatic),99.8,5515.45,0,25.9,4.68,4,Kids,30.3,55.27,0.2038,0,Low
2928-HLDBA,Female,0,No,No,6,Yes,Single,Mobile only,No,No,No,No,No,No,Monthly,No,Mailed check,20.7,112.75,0,19.8,4.97,2,Action,49.2,5.45,0.2738,0,Low
