customer_id,gender,senior_subscriber,family_account,kids_profile,subscription_months,mobile_access,shared_profiles,streaming_quality,account_security,offline_downloads,device_protection,premium_support,live_tv_package,movie_package,subscription_plan,digital_billing,payment_method,monthly_subscription_fee,total_spent,churn,views_per_week,average_watch_time,number_of_devices,favorite_genre,engagement_score,subscription_value_ratio
0526-SXDJP,Male,0,Yes,No,72,No,Single,Standard HD,Yes,Yes,Yes,No,No,No,Two-Year,No,Bank transfer (automatic),42.1,2962.0,0,22.9,5.08,1,Sports,116.33,70.36
0557-ASKVU,Female,0,Yes,Yes,18,Yes,Single,Standard HD,No,No,Yes,Yes,No,No,Annual,Yes,Credit card (automatic),54.4,957.1,0,7.3,2.31,4,Action,4.22,17.59
5698-BQJOH,Female,0,No,No,9,Yes,Multiple,Ultra HD,No,No,No,No,Yes,Yes,Monthly,No,Electronic check,94.4,857.25,1,25.7,1.68,2,Sports,21.59,9.08
5122-CYFXA,Female,0,No,No,3,Yes,Single,Standard HD,No,Yes,No,Yes,Yes,Yes,Monthly,Yes,Electronic check,75.3,244.1,0,28.3,4.75,1,Drama,134.43,3.24
8627-ZYGSZ,Male,0,Yes,No,47,Yes,Multiple,Ultra HD,No,Yes,No,No,No,No,Annual,Yes,Electronic check,78.9,3650.35,0,7.5,4.07,5,Reality,6.1,46.27
3410-YOQBQ,Female,0,No,No,31,Yes,Single,Standard HD,No,Yes,Yes,Yes,Yes,Yes,Two-Year,No,Mailed check,79.2,2497.2,0,18.1,1.61,4,Sports,7.29,31.53
3170-NMYVV,Female,0,Yes,Yes,50,Yes,Single,Mobile only,No,No,No,No,No,No,Two-Year,No,Bank transfer (automatic),20.15,930.9,0,23.3,4.08,1,Kids,95.06,46.2
7410-OIEDU,Male,0,No,No,10,Yes,Single,Ultra HD,Yes,No,Yes,No,No,No,Monthly,Yes,Mailed check,79.85,887.35,0,27.2,4.46,4,Action,30.33,11.11
2273-QCKXA,Male,0,No,No,1,Yes,Single,Standard HD,No,No,No,Yes,No,No,Monthly,No,Mailed check,49.05,49.05,0,6.5,2.99,4,Sports,4.86,1.0
0731-EBJQB,Female,0,Yes,Yes,52,Yes,Single,Mobile only,No,No,No,No,No,No,Annual,Yes,Electronic check,20.4,1090.65,0,26.5,1.73,1,Kids,45.84,53.46
1891-QRQSA,Male,1,Yes,Yes,64,Yes,Multiple,Ultra HD,Yes,No,Yes,Yes,Yes,Yes,Two-Year,Yes,Bank transfer (automatic),111.6,7099.0,0,25.5,1.58,2,Reality,20.14,63.61
8028-PNXHQ,Male,0,Yes,Yes,62,Yes,Multiple,Mobile only,No,No,No,No,No,No,Two-Year,Yes,Bank transfer (automatic),24.25,1424.6,0,8.2,3.83,2,Documentary,15.7,58.75
5630-AHZIL,Female,0,No,Yes,3,Yes,Single,Standard HD,Yes,No,No,Yes,No,Yes,Monthly,Yes,Bank transfer (automatic),64.5,177.4,0,23.3,3.89,1,Drama,90.64,2.75
2673-CXQEU,Female,1,No,No,56,Yes,Multiple,Ultra HD,Yes,Yes,Yes,No,Yes,Yes,Annual,No,Electronic check,110.5,6139.5,0,16.6,3.56,1,Comedy,59.1,55.56
6416-JNVRK,Female,0,No,No,46,Yes,Single,Standard HD,No,No,No,No,No,Yes,Annual,No,Credit card (automatic),55.65,2688.85,0,22.8,1.67,1,Action,38.08,48.32
5590-ZSKRV,Female,0,Yes,Yes,8,Yes,Single,Standard HD,Yes,Yes,No,No,No,No,Monthly,No,Mailed check,54.65,482.25,0,21.9,1.74,2,Kids,19.05,8.82
0191-ZHSKZ,Male,1,No,No,30,Yes,Single,Standard HD,Yes,Yes,No,No,Yes,Yes,Monthly,Yes,Electronic check,74.75,2111.3,0,18.5,4.61,2,Documentary,42.64,28.24
3887-PBQAO,Female,0,Yes,Yes,45,Yes,Multiple,Mobile only,No,No,No,No,No,No,Annual,Yes,Credit card (automatic),25.9,1216.6,0,27.8,2.74,4,Reality,19.04,46.97
5919-TMRGD,Female,0,No,Yes,1,Yes,Single,Ultra HD,No,No,No,No,Yes,No,Monthly,Yes,Electronic check,79.35,79.35,1,8.3,2.6,2,Documentary,10.79,1.0
8108-UXRQN,Female,0,Yes,Yes,11,No,Single,Standard HD,Yes,No,No,No,Yes,Yes,Monthly,No,Electronic check,50.55,565.35,0,9.1,2.65,3,Kids,8.04,11.18
9191-MYQKX,Female,0,Yes,No,7,Yes,Single,Ultra HD,No,No,Yes,No,No,No,Monthly,Yes,Bank transfer (automatic),75.15,496.9,1,8.0,2.46,3,Action,6.56,6.61
9919-YLNNG,Female,0,No,No,42,Yes,Single,Ultra HD,No,Yes,Yes,Yes,Yes,Yes,Monthly,Yes,Bank transfer (automatic),103.8,4327.5,0,20.1,3.88,3,Action,26.0,41.69
0318-ZOPWS,Female,0,Yes,No,49,Yes,Single,Mobile only,No,No,No,No,No,No,Two-Year,Yes,Bank transfer (automatic),20.15,973.35,0,29.8,4.25,4,Comedy,31.66,48.31
4445-ZJNMU,Male,0,No,No,9,Yes,Multiple,Ultra HD,No,Yes,No,No,Yes,Yes,Monthly,Yes,Credit card (automatic),99.3,918.75,0,6.0,3.76,1,Action,22.56,9.25
4808-YNLEU,Female,0,Yes,No,35,Yes,Single,Standard HD,Yes,No,No,No,Yes,No,Annual,Yes,Bank transfer (automatic),62.15,2215.45,0,6.3,2.78,5,Action,3.5,35.65
1862-QRWPE,Female,0,Yes,Yes,48,Yes,Single,Mobile only,No,No,No,No,No,No,Two-Year,No,Bank transfer (automatic),20.65,1057.0,0,12.6,3.17,2,Documentary,19.97,51.19
2796-NNUFI,Female,0,Yes,Yes,46,Yes,Single,Mobile only,No,No,No,No,No,No,Two-Year,Yes,Mailed check,19.95,927.1,0,24.2,3.03,3,Kids,24.44,46.47
3016-KSVCP,Male,0,Yes,No,29,No,Single,Standard HD,No,No,No,No,Yes,No,Monthly,No,Mailed check,33.75,1009.25,0,25.4,5.05,4,Documentary,32.07,29.9
4767-HZZHQ,Male,0,Yes,Yes,30,Yes,Single,Ultra HD,No,Yes,Yes,No,No,No,Monthly,No,Bank transfer (automatic),82.05,2570.2,0,24.3,3.65,1,Comedy,88.7,31.32
2424-WVHPL,Male,1,No,No,1,Yes,Single,Ultra HD,No,No,No,Yes,No,No,Monthly,No,Electronic check,74.7,74.7,0,9.9,1.19,3,Sports,3.93,1.0
7233-PAHHL,Male,0,Yes,Yes,66,Yes,Multiple,Standard HD,Yes,No,Yes,Yes,Yes,Yes,Two-Year,Yes,Mailed check,84.0,5714.25,0,12.0,2.35,3,Sports,9.4,68.03
6067-NGCEU,Female,0,No,No,65,Yes,Multiple,Ultra HD,Yes,Yes,Yes,No,Yes,Yes,Monthly,Yes,Credit card (automatic),111.05,7107.0,0,17.9,4.75,2,Kids,42.51,64.0
9848-JQJTX,Male,0,No,No,72,Yes,Multiple,Ultra HD,No,Yes,Yes,No,Yes,Yes,Two-Year,Yes,Bank transfer (automatic),100.9,7459.05,0,6.4,3.07,5,Reality,3.93,73.93
8637-XJIVR,Female,0,No,No,12,Yes,Multiple,Ultra HD,Yes,No,No,No,No,No,Monthly,Yes,Electronic check,78.95,927.35,1,24.5,3.48,3,Reality,28.42,11.75
9803-FTJCG,Male,0,Yes,Yes,71,Yes,Multiple,Standard HD,Yes,Yes,No,Yes,No,No,Annual,Yes,Credit card (automatic),66.85,4748.7,0,11.7,1.72,5,Drama,4.02,71.04
0278-YXOOG,Male,0,No,No,5,Yes,Single,Mobile only,No,No,No,No,No,No,Monthly,No,Mailed check,21.05,113.85,1,17.0,1.56,3,Reality,8.84,5.41
3212-KXOCR,Male,0,No,No,52,Yes,Single,Mobile only,No,No,No,No,No,No,Two-Year,No,Bank transfer (automatic),21.0,1107.2,0,9.0,3.28,2,Action,14.76,52.72
4598-XLKNJ,Female,1,Yes,No,25,Yes,Single,Ultra HD,No,Yes,Yes,No,Yes,Yes,Monthly,Yes,Electronic check,98.5,2514.5,1,21.5,1.98,4,Drama,10.64,25.53
6380-ARCEH,Male,0,No,No,1,Yes,Single,Mobile only,No,No,No,No,No,No,Monthly,No,Mailed check,20.2,20.2,0,18.0,2.43,4,Sports,10.94,1.0
3679-XASPY,Female,0,Yes,Yes,1,Yes,Single,Mobile only,No,No,No,No,No,No,Monthly,No,Electronic check,19.45,19.45,0,5.3,4.03,5,Sports,4.27,1.0
7123-WQUHX,Male,0,No,No,38,Yes,Multiple,Ultra HD,No,No,Yes,Yes,Yes,No,Annual,No,Bank transfer (automatic),95.0,3605.6,0,10.3,4.27,1,Reality,43.98,37.95
5386-THSLQ,Female,1,Yes,No,66,No,Single,Standard HD,No,Yes,Yes,No,Yes,No,Annual,No,Bank transfer (automatic),45.55,3027.25,0,28.8,3.0,3,Drama,28.8,66.46
3192-NQECA,Male,0,Yes,No,68,Yes,Multiple,Ultra HD,No,Yes,Yes,Yes,Yes,Yes,Two-Year,Yes,Bank transfer (automatic),110.0,7611.85,1,19.0,4.42,5,Sports,16.8,69.2
6180-YBIQI,Male,0,No,No,5,No,Single,Standard HD,No,No,No,No,No,No,Monthly,No,Mailed check,24.3,100.2,0,14.3,2.74,1,Kids,39.18,4.12
6728-DKUCO,Female,0,Yes,Yes,72,Yes,Multiple,Ultra HD,Yes,Yes,No,No,Yes,Yes,Annual,Yes,Electronic check,104.15,7303.05,0,10.6,1.98,4,Drama,5.25,70.12
9750-BOOHV,Female,0,No,No,32,No,Single,Standard HD,Yes,No,No,No,No,No,Annual,No,Mailed check,30.15,927.65,0,19.7,4.71,3,Kids,30.93,30.77
8597-CWYHH,Male,0,No,No,43,Yes,Multiple,Ultra HD,No,No,No,No,Yes,Yes,Annual,No,Mailed check,94.35,3921.3,0,25.3,5.08,4,Sports,32.13,41.56
2848-YXSMW,Male,0,Yes,Yes,72,Yes,Single,Mobile only,No,No,No,No,No,No,Two-Year,No,Credit card (automatic),19.4,1363.25,0,24.1,3.74,4,Action,22.53,70.27
0486-HECZI,Male,0,Yes,No,55,Yes,Multiple,Ultra HD,Yes,Yes,No,No,Yes,No,Monthly,Yes,Electronic check,96.75,5238.9,1,26.5,4.07,1,Drama,107.86,54.15
4549-ZDQYY,Female,0,No,No,52,Yes,Single,Standard HD,Yes,No,Yes,Yes,No,No,Annual,No,Credit card (automatic),57.95,3042.25,0,23.5,3.45,2,Comedy,40.54,52.5
5712-AHQNN,Female,0,No,No,43,Yes,Single,Ultra HD,No,Yes,Yes,No,Yes,No,Monthly,Yes,Electronic check,91.65,3954.1,0,19.2,1.82,3,Action,11.65,43.14
4846-WHAFZ,Female,1,Yes,No,37,Yes,Multiple,Ultra HD,No,No,No,No,No,No,Monthly,Yes,Electronic check,76.5,2868.15,1,23.1,3.09,3,Comedy,23.79,37.49
5256-SKJGO,Female,0,Yes,Yes,64,No,Single,Standard HD,No,Yes,No,Yes,Yes,Yes,Two-Year,Yes,Electronic check,54.6,3423.5,0,5.8,2.2,4,Drama,3.19,62.7
3071-VBYPO,Male,0,Yes,Yes,3,Yes,Single,Ultra HD,Yes,Yes,No,No,Yes,No,Monthly,No,Electronic check,89.85,248.4,0,12.6,4.21,3,Sports,17.68,2.76
9560-BBZXK,Female,0,No,No,36,No,Single,Standard HD,Yes,No,No,No,No,No,Two-Year,No,Bank transfer (automatic),31.05,1126.35,0,11.3,2.37,3,Kids,8.93,36.28
5299-RULOA,Female,0,Yes,Yes,10,Yes,Multiple,Ultra HD,Yes,No,No,No,Yes,Yes,Monthly,Yes,Electronic check,100.25,1064.65,1,19.8,3.26,4,Sports,16.14,10.62
8402-OOOHJ,Female,0,No,No,41,Yes,Single,Mobile only,No,No,No,No,No,No,Two-Year,No,Mailed check,20.65,835.15,0,25.2,3.95,3,Reality,33.18,40.44
9445-ZUEQE,Male,0,Yes,Yes,27,Yes,Multiple,Ultra HD,No,Yes,No,Yes,No,No,Monthly,Yes,Credit card (automatic),85.2,2151.6,0,17.0,3.51,1,Documentary,59.67,25.25
1091-SOZGA,Female,0,Yes,Yes,56,Yes,Multiple,Ultra HD,No,No,Yes,No,Yes,Yes,Annual,Yes,Credit card (automatic),99.8,5515.45,0,25.9,4.68,4,Kids,30.3,55.27
2928-HLDBA,Female,0,No,No,6,Yes,Single,Mobile only,No,No,No,No,No,No,Monthly,No,Mailed check,20.7,112.75,0,19.8,4.97,2,Action,49.2,5.45
0404-SWRVG,Male,0,No,No,3,Yes,Multiple,Ultra HD,No,No,No,No,No,No,Monthly,Yes,Electronic check,74.4,229.55,1,26.2,3.74,1,Kids,97.99,3.09
6497-TILVL,Female,0,Yes,Yes,7,Yes,Single,Standard HD,Yes,No,No,No,No,No,Monthly,No,Mailed check,50.7,350.35,0,17.0,2.81,4,Sports,11.94,6.91
7219-TLZHO,Female,0,Yes,Yes,4,Yes,Single,Mobile only,No,No,No,No,No,No,Monthly,No,Mailed check,20.85,62.9,0,16.3,2.65,2,Reality,21.6,3.02
4622-YNKIJ,Male,0,No,No,33,Yes,Single,Ultra HD,Yes,No,No,Yes,Yes,No,Two-Year,Yes,Electronic check,88.95,3027.65,0,8.6,4.01,5,Comedy,6.9,34.04
4412-YLTKF,Female,1,No,No,27,Yes,Multiple,Ultra HD,No,No,Yes,No,No,No,Monthly,Yes,Electronic check,78.05,2135.5,1,18.5,2.82,2,Comedy,26.08,27.36
6734-PSBAW,Male,0,Yes,No,72,Yes,Multiple,Mobile only,No,No,No,No,No,No,Two-Year,Yes,Bank transfer (automatic),23.55,1723.95,0,30.0,3.92,3,Sports,39.2,73.2
3930-ZGWVE,Male,0,No,No,1,Yes,Single,Mobile only,No,No,No,No,No,No,Monthly,No,Mailed check,19.75,19.75,0,18.8,4.69,4,Reality,22.04,1.0
2639-UGMAZ,Male,1,No,No,71,No,Single,Standard HD,Yes,Yes,No,No,Yes,Yes,Annual,Yes,Electronic check,56.45,3985.35,0,30.6,4.0,4,Kids,30.6,70.6
2876-GZYZC,Female,0,No,No,13,Yes,Multiple,Ultra HD,No,No,No,No,No,Yes,Monthly,Yes,Electronic check,85.95,1215.65,0,9.1,3.87,3,Kids,11.74,14.14
6207-WIOLX,Female,0,Yes,Yes,25,No,Single,Standard HD,Yes,Yes,Yes,No,Yes,Yes,Monthly,Yes,Credit card (automatic),58.6,1502.65,1,25.8,1.75,2,Kids,22.58,25.64
8587-XYZSF,Male,0,No,No,67,Yes,Single,Standard HD,No,No,No,Yes,No,No,Two-Year,No,Bank transfer (automatic),50.55,3260.1,0,10.4,4.04,5,Kids,8.4,64.49
3091-FYHKI,Male,0,No,No,1,No,Single,Standard HD,No,No,No,No,No,Yes,Monthly,Yes,Electronic check,35.45,35.45,1,24.1,1.91,4,Action,11.51,1.0
2372-HWUHI,Male,0,No,No,2,Yes,Single,Standard HD,No,No,No,No,No,No,Monthly,No,Electronic check,44.35,81.25,1,10.8,2.85,4,Documentary,7.7,1.83
